1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
103.3388 	EXP 	grating: ori = 0.0
103.3388 	EXP 	fixation: autoDraw = True
104.3394 	EXP 	fixation: autoDraw = False
104.3394 	EXP 	grating: autoDraw = True
104.6437 	EXP 	grating: autoDraw = False
104.9811 	EXP 	New trial (rep=50, index=0): None
104.9838 	DATA 	Keypress: up
104.9927 	EXP 	fixation: autoDraw = False
104.9927 	EXP 	grating: autoDraw = False
104.9927 	EXP 	grating: ori = 0.0
104.9927 	EXP 	fixation: autoDraw = True
105.9934 	EXP 	fixation: autoDraw = False
105.9934 	EXP 	grating: autoDraw = True
106.3096 	EXP 	grating: autoDraw = False
106.7613 	EXP 	New trial (rep=51, index=0): None
106.7639 	DATA 	Keypress: up
106.7680 	EXP 	fixation: autoDraw = False
106.7680 	EXP 	grating: autoDraw = False
106.7680 	EXP 	grating: ori = 0.0
106.7680 	EXP 	fixation: autoDraw = True
107.7598 	EXP 	grating: autoDraw = True
107.7728 	EXP 	fixation: autoDraw = False
108.0761 	EXP 	grating: autoDraw = False
108.7280 	EXP 	New trial (rep=52, index=0): None
108.7307 	DATA 	Keypress: up
108.7439 	EXP 	fixation: autoDraw = False
108.7439 	EXP 	grating: autoDraw = False
108.7439 	EXP 	grating: ori = -3.0
108.7439 	EXP 	fixation: autoDraw = True
109.7432 	EXP 	grating: autoDraw = True
109.7596 	EXP 	fixation: autoDraw = False
110.0395 	EXP 	grating: autoDraw = False
110.4144 	EXP 	New trial (rep=53, index=0): None
110.4172 	DATA 	Keypress: down
110.4264 	EXP 	fixation: autoDraw = False
110.4264 	EXP 	grating: autoDraw = False
110.4264 	EXP 	grating: ori = 0.0
110.4264 	EXP 	fixation: autoDraw = True
111.4268 	EXP 	fixation: autoDraw = False
111.4268 	EXP 	grating: autoDraw = True
111.7434 	EXP 	grating: autoDraw = False
112.2140 	EXP 	New trial (rep=54, index=0): None
112.2168 	DATA 	Keypress: down
112.2262 	EXP 	fixation: autoDraw = False
112.2262 	EXP 	grating: autoDraw = False
112.2262 	EXP 	grating: ori = 2.0
112.2262 	EXP 	fixation: autoDraw = True
113.2263 	EXP 	fixation: autoDraw = False
113.2263 	EXP 	grating: autoDraw = True
113.5433 	EXP 	grating: autoDraw = False
113.9940 	EXP 	New trial (rep=55, index=0): None
113.9967 	DATA 	Keypress: down
114.0106 	EXP 	fixation: autoDraw = False
114.0106 	EXP 	grating: autoDraw = False
114.0106 	EXP 	grating: ori = 0.0
114.0106 	EXP 	fixation: autoDraw = True
115.0103 	EXP 	grating: autoDraw = True
115.0266 	EXP 	fixation: autoDraw = False
115.3062 	EXP 	grating: autoDraw = False
115.6305 	EXP 	New trial (rep=56, index=0): None
115.6330 	DATA 	Keypress: up
115.6390 	EXP 	fixation: autoDraw = False
115.6390 	EXP 	grating: autoDraw = False
115.6390 	EXP 	grating: ori = 0.0
115.6390 	EXP 	fixation: autoDraw = True
116.6395 	EXP 	fixation: autoDraw = False
116.6395 	EXP 	grating: autoDraw = True
116.9440 	EXP 	grating: autoDraw = False
